CoCd,DocumentNo,Year,Type,Pstng Date,Reference,Obj. key,CoCd2
Company 2,5000000043.0,2022.0,WE  ,05/09/2022,Ref 130306,50007171452022,
Company 2,5000000044.0,2022.0,WE  ,05/09/2022,Ref 130306,50007171672022,
Company 2,5000000091.0,2022.0,WE  ,06/08/2022,Ref 130306,50007748182022,
Company 2,5000000097.0,2022.0,WE  ,06/09/2022,Ref 130306,50007781212022,
Company 2,5000000134.0,2022.0,WE  ,07/06/2022,Ref 130306,50008245592022,
Company 2,5000000135.0,2022.0,WE  ,07/06/2022,Ref 130306,50008245602022,
Company 2,5000000185.0,2022.0,WE  ,08/11/2022,Ref 130306,50008940592022,
Company 2,5000000186.0,2022.0,WE  ,08/11/2022,Ref 130306,50008940662022,
Company 2,5000000197.0,2022.0,WE  ,08/18/2022,Ref 130306,50009058262022,
Company 4,5000001733.0,2022.0,WE  ,04/05/2022,Ref 133593,50006715492022,
Company 4,5000015676.0,2022.0,WE  ,04/29/2022,Ref 133662,50007032452022,
Company 4,5000015678.0,2022.0,WE  ,04/29/2022,Ref 134257,50007032382022,
Company 4,5000024454.0,2022.0,WE  ,05/17/2022,Ref 131237,50007327262022,
Company 4,5000029663.0,2022.0,WE  ,05/26/2022,Ref 134623,50007510612022,
Company 4,5000032459.0,2022.0,WE  ,06/02/2022,Ref 130845,50007634422022,
Company 4,5000040434.0,2022.0,WE  ,06/17/2022,Ref 132760,50007932932022,
Company 4,5000041390.0,2022.0,WE  ,06/20/2022,Ref 134174,50007972192022,
Company 4,5000042226.0,2022.0,WE  ,06/21/2022,Ref 131731,50008008112022,
Company 4,5000042958.0,2022.0,WE  ,06/22/2022,Ref 132221,50008034962022,
Company 4,5000042959.0,2022.0,WE  ,06/22/2022,Ref 131746,50008034972022,
Company 4,5000044109.0,2022.0,WE  ,06/24/2022,Ref 132284,50008081522022,
Company 4,5000047434.0,2022.0,WE  ,06/30/2022,Ref 131358,50008201272022,
Company 4,5000047437.0,2022.0,WE  ,06/30/2022,Ref 132979,50008201822022,
Company 4,5000047900.0,2022.0,WE  ,07/01/2022,Ref 132267,50008224902022,
Company 4,5000062483.0,2022.0,WE  ,08/04/2022,Ref 130960,50008785892022,
Company 4,5000076386.0,2022.0,WE  ,08/30/2022,Ref 132780,50009271022022,
Company 4,5000076503.0,2022.0,WE  ,08/30/2022,Ref 131210,50009275612022,
Company 4,5000079811.0,2022.0,WE  ,09/07/2022,Ref 134255,50009425922022,
Company 4,5000080346.0,2022.0,WE  ,09/08/2022,Ref 131528,50009451252022,
Company 4,5000080347.0,2022.0,WE  ,09/08/2022,Ref 132746,50009451262022,
Company 4,5000081003.0,2022.0,WE  ,09/09/2022,Ref 131509,50009479642022,
Company 4,5000081004.0,2022.0,WE  ,09/09/2022,Ref 133224,50009479682022,
Company 4,5000081006.0,2022.0,WE  ,09/09/2022,Ref 132455,50009479702022,
Company 4,5000081007.0,2022.0,WE  ,09/09/2022,Ref 131628,50009479712022,
Company 4,5000081239.0,2022.0,WE  ,09/09/2022,Ref 134652,50009487732022,
Company 4,5000081240.0,2022.0,WE  ,09/09/2022,Ref 132531,50009487462022,
Company 4,5000081244.0,2022.0,WE  ,09/09/2022,Ref 134238,50009487902022,
Company 4,5000083439.0,2022.0,WE  ,09/14/2022,Ref 131650,50009560822022,
Company 4,5000084173.0,2022.0,WE  ,09/15/2022,Ref 132477,50009584562022,
Company 4,5000087245.0,2022.0,WE  ,09/21/2022,Ref 134129,50009668092022,
Company 4,5000099147.0,2022.0,WE  ,10/12/2022,Ref 133900,50010071932022,
Company 4,5000102126.0,2022.0,WE  ,10/18/2022,Ref 132541,50010169792022,
Company 4,5000102885.0,2022.0,WE  ,10/19/2022,Ref 134158,50010195392022,
Company 4,5000108249.0,2022.0,WE  ,10/28/2022,Ref 133934,50010376932022,
Company 4,5000108965.0,2022.0,WE  ,10/31/2022,Ref 130869,50010399932022,
Company 4,5000115861.0,2022.0,WE  ,11/14/2022,Ref 133341,50010626592022,
Company 4,5000136365.0,2022.0,WE  ,01/05/2023,Ref 131752,50011374952023,
Company 4,5000136366.0,2022.0,WE  ,01/05/2023,Ref 134419,50011375082023,
Company 4,5000136367.0,2022.0,WE  ,01/05/2023,Ref 131366,50011375122023,
Company 4,5000136368.0,2022.0,WE  ,01/05/2023,Ref 132668,50011375182023,
Company 4,5000137075.0,2022.0,WE  ,01/06/2023,Ref 131620,50011399862023,
Company 4,5000141850.0,2022.0,WE  ,01/17/2023,Ref 134031,50011582402023,
Company 4,5000141851.0,2022.0,WE  ,01/17/2023,Ref 131405,50011582602023,
Company 4,5000149127.0,2022.0,WE  ,01/30/2023,Ref 130560,50011829512023,
Company 4,5000149129.0,2022.0,WE  ,01/30/2023,Ref 133986,50011830032023,
Company 4,5000149131.0,2022.0,WE  ,01/30/2023,Ref 131550,50011829522023,
Company 4,5000157314.0,2022.0,WE  ,02/13/2023,Ref 134294,50012112312023,
Company 4,5000158588.0,2022.0,WE  ,02/15/2023,Ref 134243,50012159552023,
Company 4,5000163574.0,2022.0,WE  ,02/24/2023,Ref 133585,50012359022023,
Company 4,5000163575.0,2022.0,WE  ,02/24/2023,Ref 130889,50012359032023,
Company 4,5000163576.0,2022.0,WE  ,02/24/2023,Ref 130963,50012359042023,
Company 4,5000165523.0,2022.0,WE  ,02/28/2023,Ref 134533,50012420632023,
Company 4,5000165524.0,2022.0,WE  ,02/28/2023,Ref 130884,50012420642023,
Company 4,5000165527.0,2022.0,WE  ,02/28/2023,Ref 130929,50012420952023,
Company 4,5000167008.0,2022.0,WE  ,03/02/2023,Ref 133317,50012467892023,
Company 4,5000170532.0,2022.0,WE  ,03/08/2023,Ref 130783,50012589522023,
Company 4,5000177555.0,2022.0,WE  ,03/20/2023,Ref 134086,50012791242023,
Company 4,9299999995.0,2022.0,ZH  ,04/01/2022,Reference 20009,51001082342022,
Company 4,9299999996.0,2022.0,ZH  ,04/01/2022,Reference 27325,51001082352022,
Company 4,9299999997.0,2022.0,ZH  ,04/01/2022,Reference 50094,51001082362022,
Company 4,9300000073.0,2022.0,ZH  ,04/01/2022,Reference 89264,51001084072022,
Company 4,9300000074.0,2022.0,ZH  ,04/01/2022,Reference 59309,51001084082022,
Company 4,9300000075.0,2022.0,ZH  ,04/01/2022,Reference 64440,51001084092022,
Company 4,9300000076.0,2022.0,ZH  ,04/01/2022,Reference 70390,51001084102022,
Company 4,9300000077.0,2022.0,ZH  ,04/05/2022,Reference 110357,51001092252022,
Company 4,9300000078.0,2022.0,ZH  ,04/05/2022,Reference 70941,51001092712022,
Company 4,9300000079.0,2022.0,ZH  ,04/05/2022,Reference 67922,51001092722022,
Company 4,9300000080.0,2022.0,ZH  ,04/05/2022,Reference 124493,51001092732022,
Company 4,9300000081.0,2022.0,ZH  ,04/05/2022,Reference 23292,51001092742022,
Company 4,9300000082.0,2022.0,ZH  ,04/05/2022,Reference 76236,51001092842022,
Company 4,9300000083.0,2022.0,ZH  ,04/05/2022,Reference 87713,51001092852022,
Company 4,9300000084.0,2022.0,ZH  ,04/05/2022,Reference 34962,51001092862022,
Company 4,9300000085.0,2022.0,ZH  ,04/07/2022,Reference 43821,51001099452022,
Company 4,9300000086.0,2022.0,ZH  ,04/07/2022,Reference 4570,51001099462022,
Company 4,9300000088.0,2022.0,ZH  ,04/08/2022,Reference 78388,51001102502022,
Company 4,9300000089.0,2022.0,ZH  ,04/08/2022,Reference 80787,51001102512022,
Company 4,9300000090.0,2022.0,ZH  ,04/08/2022,Reference 53010,51001102522022,
Company 4,9300000091.0,2022.0,ZH  ,04/08/2022,Reference 118710,51001102532022,
Company 4,9300000092.0,2022.0,ZH  ,04/09/2022,Reference 92372,51001103132022,
Company 4,9300000093.0,2022.0,ZH  ,04/11/2022,Reference 15365,51001105772022,
Company 4,9300000094.0,2022.0,ZH  ,04/12/2022,Reference 8800,51001108872022,
Company 4,9300000095.0,2022.0,ZH  ,04/12/2022,Reference 9249,51001108882022,
Company 4,9300000096.0,2022.0,ZH  ,04/12/2022,Reference 85508,51001108892022,
Company 4,9300000097.0,2022.0,ZH  ,04/13/2022,Reference 123542,51001114252022,
Company 4,9300000203.0,2022.0,ZH  ,04/14/2022,Reference 16392,51001116652022,
Company 4,9300000204.0,2022.0,ZH  ,04/14/2022,Reference 34039,51001116662022,
Company 4,9300000205.0,2022.0,ZH  ,04/14/2022,Reference 68090,51001116672022,
Company 4,9300000206.0,2022.0,ZH  ,04/14/2022,Reference 29995,51001116682022,
Company 4,9300000207.0,2022.0,ZH  ,04/14/2022,Reference 112194,51001116692022,
Company 4,9300000268.0,2022.0,ZH  ,04/14/2022,Reference 12310,51001116702022,
Company 4,9300000269.0,2022.0,ZH  ,04/14/2022,Reference 6108,51001116712022,
Company 4,9300000270.0,2022.0,ZH  ,04/14/2022,Reference 102232,51001116722022,
Company 4,9300000271.0,2022.0,ZH  ,04/15/2022,Reference 25367,51001118932022,
Company 4,9300000476.0,2022.0,ZH  ,04/19/2022,Reference 120223,51001126932022,
Company 4,9300000477.0,2022.0,ZH  ,04/19/2022,Reference 64551,51001126942022,
Company 4,9300000478.0,2022.0,ZH  ,04/20/2022,Reference 37260,51001131082022,
Company 4,9300000479.0,2022.0,ZH  ,04/20/2022,Reference 88603,51001131092022,
Company 4,9300000550.0,2022.0,ZH  ,04/21/2022,Reference 38597,51001134912022,
Company 4,9300000551.0,2022.0,ZH  ,04/21/2022,Reference 47689,51001134922022,
Company 4,9300000552.0,2022.0,ZH  ,04/21/2022,Reference 123022,51001134932022,
Company 4,9300000553.0,2022.0,ZH  ,04/21/2022,Reference 119887,51001134942022,
Company 4,9300000554.0,2022.0,ZH  ,04/22/2022,Reference 122575,51001138822022,
Company 4,9300001144.0,2022.0,ZH  ,04/25/2022,Reference 104915,51001143232022,
Company 4,9300001145.0,2022.0,ZH  ,04/25/2022,Reference 70653,51001143242022,
Company 4,9300001484.0,2022.0,ZH  ,04/26/2022,Reference 110781,51001148652022,
Company 4,9300001485.0,2022.0,ZH  ,04/26/2022,Reference 107836,51001148662022,
Company 4,9300001486.0,2022.0,ZH  ,04/27/2022,Reference 83442,51001153002022,
Company 4,9300001487.0,2022.0,ZH  ,04/27/2022,Reference 116851,51001153262022,
Company 4,9300001488.0,2022.0,ZH  ,04/27/2022,Reference 62722,51001153382022,
Company 4,9300001489.0,2022.0,ZH  ,04/27/2022,Reference 9935,51001153392022,
Company 4,9300001490.0,2022.0,ZH  ,04/27/2022,Reference 38703,51001153402022,
Company 4,9300001600.0,2022.0,ZH  ,04/28/2022,Reference 41322,51001157232022,
Company 4,9300001601.0,2022.0,ZH  ,04/28/2022,Reference 21244,51001157242022,
Company 4,9300001602.0,2022.0,ZH  ,04/28/2022,Reference 16536,51001157252022,
Company 4,9300001619.0,2022.0,ZH  ,04/29/2022,Reference 11934,51001161602022,
Company 4,9300001620.0,2022.0,ZH  ,04/29/2022,Reference 12132,51001161612022,
Company 4,9300001833.0,2022.0,ZH  ,05/04/2022,Reference 68987,51001173612022,
Company 4,9300001915.0,2022.0,ZH  ,05/05/2022,Reference 19438,51001178482022,
Company 4,9300001916.0,2022.0,ZH  ,05/05/2022,Reference 43796,51001178492022,
Company 4,9300001917.0,2022.0,ZH  ,05/05/2022,Reference 70046,51001178502022,
Company 4,9300001918.0,2022.0,ZH  ,05/05/2022,Reference 93953,51001178512022,
Company 4,9300001919.0,2022.0,ZH  ,05/05/2022,Reference 12565,51001178522022,
Company 4,9300001920.0,2022.0,ZH  ,05/05/2022,Reference 126763,51001178532022,
Company 4,9300001921.0,2022.0,ZH  ,05/05/2022,Reference 73293,51001178542022,
Company 4,9300001922.0,2022.0,ZH  ,05/05/2022,Reference 103823,51001178592022,
Company 4,9300001923.0,2022.0,ZH  ,05/05/2022,Reference 114148,51001178602022,
Company 4,9300001924.0,2022.0,ZH  ,05/05/2022,Reference 11354,51001178612022,
Company 4,9300002029.0,2022.0,ZH  ,05/06/2022,Reference 67106,51001182842022,
Company 4,9300002030.0,2022.0,ZH  ,05/06/2022,Reference 110471,51001182852022,
Company 4,9300002031.0,2022.0,ZH  ,05/06/2022,Reference 35031,51001182862022,
