Purch.Doc.,CoCd,Vendor,Type
38547,Company 5,Vendor 4861,ZIC 
120433,Company 6,Vendor 1376,NB  
120448,Company 6,Vendor 3759,NB  
120793,Company 6,Vendor 2830,NB  
121138,Company 6,Vendor 1376,NB  
121731,Company 6,Vendor 1653,NB  
122057,Company 6,Vendor 4293,NB  
122152,Company 6,Vendor 1597,NB  
122234,Company 6,Vendor 4293,NB  
122274,Company 6,Vendor 2229,NB  
122421,Company 6,Vendor 3955,NB  
122433,Company 6,Vendor 2602,NB  
122441,Company 6,Vendor 2868,NB  
122498,Company 6,Vendor 4476,NB  
122524,Company 6,Vendor 61,NB  
122531,Company 6,Vendor 726,NB  
122561,Company 6,Vendor 3789,NB  
122590,Company 6,Vendor 2868,NB  
122598,Company 6,Vendor 3789,NB  
122602,Company 6,Vendor 2057,NB  
122603,Company 6,Vendor 2057,NB  
122625,Company 6,Vendor 2868,NB  
122628,Company 6,Vendor 2271,NB  
122716,Company 6,Vendor 4293,NB  
122830,Company 6,Vendor 3421,NB  
122837,Company 6,Vendor 3421,NB  
122893,Company 6,Vendor 3759,NB  
122924,Company 6,Vendor 1758,NB  
122949,Company 6,Vendor 3421,NB  
122954,Company 6,Vendor 205,NB  
122984,Company 6,Vendor 948,NB  
122999,Company 6,Vendor 2057,NB  
123021,Company 6,Vendor 2057,NB  
123053,Company 6,Vendor 738,NB  
123071,Company 6,Vendor 4365,NB  
123080,Company 6,Vendor 3421,NB  
123096,Company 6,Vendor 428,NB  
123108,Company 6,Vendor 2650,NB  
123115,Company 6,Vendor 2716,NB  
123141,Company 6,Vendor 738,NB  
123143,Company 6,Vendor 1569,NB  
123145,Company 6,Vendor 2535,NB  
123162,Company 6,Vendor 4293,NB  
123170,Company 6,Vendor 738,NB  
123171,Company 6,Vendor 738,NB  
123187,Company 6,Vendor 2057,NB  
123196,Company 6,Vendor 2643,NB  
123217,Company 6,Vendor 1597,NB  
123273,Company 6,Vendor 4053,NB  
123314,Company 6,Vendor 4293,NB  
123369,Company 6,Vendor 3421,NB  
123392,Company 6,Vendor 1569,NB  
123408,Company 6,Vendor 4328,NB  
123415,Company 6,Vendor 4328,NB  
123416,Company 6,Vendor 1914,NB  
123426,Company 6,Vendor 2057,NB  
123427,Company 6,Vendor 428,NB  
123488,Company 6,Vendor 4365,NB  
123492,Company 6,Vendor 25,NB  
123530,Company 6,Vendor 1226,NB  
123538,Company 6,Vendor 1569,NB  
123549,Company 6,Vendor 738,NB  
123556,Company 6,Vendor 1569,NB  
123566,Company 6,Vendor 1376,NB  
123572,Company 6,Vendor 3421,NB  
123579,Company 6,Vendor 3458,NB  
123582,Company 6,Vendor 2352,NB  
123587,Company 6,Vendor 743,NB  
123592,Company 6,Vendor 743,NB  
123598,Company 6,Vendor 1597,NB  
123608,Company 6,Vendor 2057,NB  
123611,Company 6,Vendor 882,NB  
123613,Company 6,Vendor 4328,NB  
123624,Company 6,Vendor 2161,NB  
123633,Company 6,Vendor 4013,NB  
123640,Company 6,Vendor 428,NB  
123673,Company 6,Vendor 25,NB  
123678,Company 6,Vendor 4440,NB  
123693,Company 6,Vendor 1226,NB  
123704,Company 6,Vendor 205,NB  
123706,Company 6,Vendor 2057,NB  
123709,Company 6,Vendor 212,NB  
123710,Company 6,Vendor 428,NB  
123720,Company 6,Vendor 1569,NB  
123721,Company 6,Vendor 4365,NB  
123732,Company 6,Vendor 205,NB  
123733,Company 6,Vendor 205,NB  
123737,Company 6,Vendor 3421,NB  
123747,Company 6,Vendor 428,NB  
123750,Company 6,Vendor 3421,NB  
