Material,MTyp,Matl Group
Material 1549,ERT,34
Material 4690,ERT,34
Material 7181,ERT,34
Material 4687,ERT,34
Material 2383,ERT,34
Material 7334,ERT,34
Material 6432,AWA,34
Material 3344,ROH,68
Material 2531,ALB,76
Material 5309,ERT,8
Material 1870,ERT,8
Material 1660,ERT,8
Material 586,ERT,8
Material 5785,ERT,8
Material 5948,ERT,8
Material 3849,ERT,8
Material 6494,ERT,8
Material 6288,ERT,8
Material 3714,ERT,8
Material 5026,ERT,8
Material 4178,ERT,8
Material 7972,ERT,8
Material 88,ERT,8
Material 7362,ERT,8
Material 4412,ERT,8
Material 6666,ERT,8
Material 6335,ERT,8
Material 1905,ERT,8
Material 3503,ERT,8
Material 7030,ERT,8
Material 6521,ERT,8
Material 31,ERT,8
Material 3072,ERT,8
Material 745,ERT,8
Material 3610,ERT,8
Material 2381,ERT,8
Material 2105,ERT,8
Material 2424,ERT,8
Material 1731,ERT,8
Material 5123,ERT,8
Material 4179,ERT,8
Material 80,ERT,8
Material 3917,ERT,8
Material 7709,ERT,8
Material 679,ERT,8
Material 5691,ALB,76
Material 7625,ERT,8
Material 3163,ERT,8
Material 4093,ERT,8
Material 7836,ERT,8
Material 761,ERT,8
Material 6383,ERT,8
Material 3488,ERT,8
Material 5511,ERT,8
Material 2018,ERT,8
Material 6684,ERT,8
Material 2640,ERT,8
Material 2741,ERT,8
Material 484,ERT,8
Material 6310,ERT,8
Material 363,ERT,8
Material 7540,ERT,8
Material 4418,ERT,8
Material 980,ERT,8
Material 646,ERT,8
Material 1283,ERT,8
Material 2624,ERT,8
Material 6350,ERT,8
Material 2216,ERT,8
Material 4202,ERT,8
Material 7217,ERT,8
Material 683,ERT,8
Material 4626,ERT,8
Material 7901,ERT,8
Material 7894,ERT,8
Material 7392,ERT,8
Material 1162,ERT,8
Material 1098,ERT,8
Material 2086,ERT,8
Material 4907,ERT,8
Material 4450,ERT,8
Material 7757,ERT,8
Material 5321,ERT,8
Material 4310,ERT,8
Material 3091,ERT,8
Material 6614,ERT,8
Material 4347,ERT,8
Material 6142,ERT,8
Material 2297,ERT,8
Material 1130,ERT,8
Material 8055,ERT,8
Material 8011,ERT,8
Material 13,ERT,8
Material 3839,ERT,8
Material 5441,ERT,8
Material 4330,ERT,8
Material 7178,ERT,8
Material 3062,ERT,8
Material 7473,ERT,8
Material 504,ERT,8
Material 550,ERT,8
Material 5799,ERT,8
Material 7206,ERT,8
Material 6584,ERT,8
Material 742,ERT,8
Material 5383,ERT,8
Material 58,ERT,8
Material 5834,ERT,8
Material 1,ERT,8
Material 1918,ERT,8
Material 6030,ERT,8
Material 7666,ERT,8
Material 1636,ERT,8
Material 1349,ERT,8
Material 5815,ERT,8
Material 8061,ERT,8
Material 7150,ERT,8
Material 5494,ERT,8
Material 7615,ERT,8
Material 1274,ERT,8
Material 4842,ERT,8
Material 3208,ERT,8
Material 2746,ERT,8
Material 6262,ERT,8
Material 2471,ERT,8
Material 1977,ERT,8
Material 5167,ERT,8
Material 1740,ERT,8
Material 509,ERT,8
Material 8032,ERT,8
Material 5556,ERT,8
Material 4488,ERT,8
Material 113,ERT,8
Material 3115,ERT,8
Material 5062,ERT,8
Material 859,ERT,8
Material 2807,ERT,8
Material 1517,ERT,8
Material 6016,ERT,8
Material 3064,ERT,8
Material 2405,ERT,8
Material 5968,ERT,8
Material 1534,ERT,8
Material 3490,ERT,8
Material 7498,ERT,8
Material 1017,ERT,8
Material 1301,ERT,8
Material 1207,ERT,8
Material 284,ERT,8
Material 2239,ERT,8
Material 7876,ERT,8
Material 2127,ERT,8
Material 1847,ERT,8
Material 4342,ERT,8
Material 1003,ERT,8
Material 2153,ERT,8
Material 2621,ERT,8
Material 7399,ERT,8
Material 5006,ERT,8
