Approvable ID,count()
Invoice 113225,1
Invoice 21166,1
Invoice 117134,1
Invoice 108514,1
Invoice 38967,1
Invoice 136117,1
Invoice 51347,1
Invoice 89829,1
Invoice 66903,1
Invoice 99706,1
Invoice 149430,1
Invoice 2750,1
Invoice 133305,1
Invoice 51901,1
Invoice 71570,1
Invoice 19787,1
Invoice 138917,1
Invoice 18096,1
Invoice 157048,1
Invoice 1248,1
Invoice 52672,1
Invoice 12902,1
Invoice 127959,1
Invoice 129066,1
Invoice 139937,1
Invoice 21410,1
Invoice 32018,1
Invoice 65945,1
Invoice 48127,1
Invoice 136740,1
Invoice 81980,1
Invoice 4088,1
Invoice 56295,1
Invoice 133002,1
Invoice 93470,1
Invoice 91180,1
Invoice 84545,1
Invoice 137187,1
Invoice 112449,1
Invoice 550,1
Invoice 55805,1
Invoice 1544,1
Invoice 44737,1
Invoice 141313,1
Invoice 23511,1
Invoice 29010,1
Invoice 11645,1
Invoice 2526,1
Invoice 157767,1
Invoice 27805,1
Invoice 136958,1
Invoice 33165,1
Invoice 46392,1
Invoice 121761,1
Invoice 56817,1
Invoice 69753,1
Invoice 34504,1
Invoice 128021,1
Invoice 91173,1
Invoice 51886,1
Invoice 156235,1
Invoice 138639,1
Invoice 17491,1
Invoice 21264,1
Invoice 101289,1
Invoice 33574,1
Invoice 57563,1
Invoice 129351,1
Invoice 52696,1
Invoice 125467,1
Invoice 7453,1
Invoice 29222,1
Invoice 24365,1
Invoice 78589,1
Invoice 94855,1
Invoice 129229,1
Invoice 58601,1
Invoice 140996,1
Invoice 54331,1
Invoice 24461,1
Invoice 61544,1
Invoice 38724,1
Invoice 113307,1
Invoice 138924,1
Invoice 7701,1
Invoice 134371,1
Invoice 72882,1
Invoice 32432,1
Invoice 117582,1
Invoice 122467,1
Invoice 72765,1
Invoice 45507,1
Invoice 20723,1
Invoice 11220,1
Invoice 133056,1
Invoice 7040,1
Invoice 124952,1
Invoice 137346,1
Invoice 99087,1
Invoice 57394,1
Invoice 138645,1
Invoice 86716,1
Invoice 62786,1
Invoice 134880,1
Invoice 83665,1
Invoice 21819,1
Invoice 29090,1
Invoice 96404,1
Invoice 14272,1
Invoice 56432,1
Invoice 114364,1
Invoice 38851,1
Invoice 1816,1
Invoice 133302,1
Invoice 99153,1
Invoice 81616,1
Invoice 32389,1
Invoice 15394,1
Invoice 122077,1
Invoice 1401,1
Invoice 155431,1
Invoice 112565,1
Invoice 101145,1
Invoice 68171,1
Invoice 28131,1
Invoice 14253,1
Invoice 94360,1
Invoice 98900,1
Invoice 8872,1
Invoice 12566,1
Invoice 61239,1
Invoice 70292,1
Invoice 105993,1
Invoice 107699,1
Invoice 24662,1
Invoice 71399,1
Invoice 26175,1
Invoice 125726,1
Invoice 6832,1
Invoice 41255,1
Invoice 55069,1
Invoice 79058,1
Invoice 74781,1
Invoice 6223,1
Invoice 125544,1
Invoice 141142,1
Invoice 79611,1
Invoice 98363,1
Invoice 103833,1
Invoice 110455,1
Invoice 139839,1
Invoice 82549,1
Invoice 20976,1
Invoice 121831,1
Invoice 131116,1
Invoice 59117,1
Invoice 116798,1
Invoice 93049,1
Invoice 47344,1
Invoice 128384,1
Invoice 103591,1
Invoice 138524,1
Invoice 65864,1
Invoice 63822,1
Invoice 93902,1
Invoice 70072,1
Invoice 38149,1
Invoice 108711,1
Invoice 88349,1
Invoice 135034,1
Invoice 7510,1
Invoice 69952,1
Invoice 139106,1
Invoice 110045,1
Invoice 400,1
Invoice 100798,1
Invoice 10533,1
Invoice 47947,1
Invoice 17015,1
Invoice 159039,1
Invoice 90911,1
Invoice 73273,1
Invoice 145361,2
Invoice 47318,1
Invoice 65323,1
Invoice 7959,1
Invoice 81661,1
Invoice 132808,1
Invoice 48806,1
Invoice 86152,1
Invoice 39135,1
Invoice 41562,1
Invoice 43726,1
Invoice 80890,1
Invoice 11767,1
Invoice 56862,1
