Approvable ID,sum(Approver Count)
Invoice 113225,1
Invoice 21166,2
Invoice 117134,1
Invoice 108514,1
Invoice 38967,2
Invoice 119355,1
Invoice 136117,1
Invoice 51347,1
Invoice 89829,1
Invoice 66903,1
Invoice 110285,1
Invoice 62121,1
Invoice 99706,1
Invoice 2750,3
Invoice 133305,3
Invoice 51901,1
Invoice 71570,1
Invoice 19787,2
Invoice 138917,2
Invoice 18096,2
Invoice 1248,2
Invoice 52672,2
Invoice 12902,2
Invoice 127959,2
Invoice 129066,2
Invoice 139937,2
Invoice 21410,2
Invoice 32018,2
Invoice 65945,2
Invoice 48127,2
Invoice 136740,2
Invoice 81980,2
Invoice 4088,2
Invoice 56295,2
Invoice 133002,2
Invoice 93470,2
Invoice 91180,2
Invoice 84545,2
Invoice 137187,2
Invoice 112449,2
Invoice 550,2
Invoice 55805,2
Invoice 1544,2
Invoice 44737,2
Invoice 141313,1
Invoice 23511,1
Invoice 29010,1
Invoice 11645,1
Invoice 2526,1
Invoice 27805,2
Invoice 136958,1
Invoice 33165,2
Invoice 46392,1
Invoice 121761,1
Invoice 56817,1
Invoice 69753,0
Invoice 34504,1
Invoice 128021,2
Invoice 91173,2
Invoice 51886,2
Invoice 138639,1
Invoice 17491,2
Invoice 21264,2
Invoice 101289,1
Invoice 33574,2
Invoice 57563,1
Invoice 129351,1
Invoice 52696,2
Invoice 125467,2
Invoice 7453,2
Invoice 29222,2
Invoice 24365,2
Invoice 78589,1
Invoice 94855,2
Invoice 129229,2
Invoice 58601,2
Invoice 140996,1
Invoice 54331,2
Invoice 24461,1
Invoice 61544,1
Invoice 38724,1
Invoice 113307,1
Invoice 138924,1
Invoice 7701,1
Invoice 134371,1
Invoice 72882,1
Invoice 32432,1
Invoice 117582,1
Invoice 122467,2
Invoice 72765,1
Invoice 45507,1
Invoice 20723,1
Invoice 11220,1
Invoice 133056,1
Invoice 7040,1
Invoice 124952,2
Invoice 137346,1
Invoice 99087,1
Invoice 57394,1
Invoice 138645,1
Invoice 86716,1
Invoice 62786,1
