Invoice ID,sum(Invoice with Exception Count)
Invoice 113225,1
Invoice 172691,1
Invoice 38967,1
Invoice 119355,1
Invoice 259696,5
Invoice 233692,2
Invoice 266069,2
Invoice 190654,2
Invoice 110285,2
Invoice 203614,1
Invoice 219188,1
Invoice 255702,1
Invoice 212360,3
Invoice 209040,1
Invoice 175201,1
Invoice 212596,1
Invoice 259566,3
Invoice 173179,2
Invoice 205018,1
Invoice 212935,3
Invoice 243091,1
Invoice 186540,2
Invoice 259071,1
Invoice 268544,1
Invoice 257063,1
Invoice 177973,2
Invoice 209374,2
Invoice 242309,1
Invoice 273793,1
Invoice 62121,6
Invoice 49203,4
Invoice 51901,1
Invoice 235899,1
Invoice 250277,2
Invoice 213759,1
Invoice 217970,1
Invoice 257447,1
Invoice 173008,3
Invoice 27805,4
Invoice 136958,3
Invoice 33165,1
Invoice 46392,1
Invoice 180629,1
Invoice 176814,3
Invoice 216395,4
Invoice 180333,3
Invoice 169022,6
Invoice 229789,1
Invoice 202217,1
Invoice 140952,2
Invoice 226883,1
Invoice 241521,1
Invoice 112526,1
Invoice 243754,1
Invoice 211529,2
Invoice 221590,1
Invoice 217638,1
Invoice 213577,1
Invoice 248142,1
Invoice 164759,1
Invoice 271404,1
Invoice 259557,1
Invoice 197511,1
Invoice 204684,2
Invoice 212626,1
Invoice 272993,1
Invoice 168798,1
Invoice 193132,1
Invoice 187593,1
Invoice 257178,1
Invoice 184082,1
Invoice 211190,1
Invoice 261577,1
Invoice 196968,1
Invoice 276059,1
Invoice 221077,1
Invoice 167968,1
Invoice 256041,1
Invoice 229384,1
Invoice 275096,1
Invoice 230539,1
Invoice 211759,1
Invoice 164418,1
Invoice 241186,1
Invoice 234578,1
Invoice 268302,1
Invoice 247569,1
Invoice 258609,1
Invoice 234713,1
Invoice 228453,1
Invoice 261352,1
Invoice 110045,1
Invoice 217407,2
Invoice 260237,2
Invoice 163978,2
Invoice 263862,1
Invoice 250795,1
Invoice 117309,3
Invoice 118656,3
Invoice 254460,3
Invoice 400,1
Invoice 116616,7
Invoice 219248,1
Invoice 225451,1
Invoice 190221,4
Invoice 269754,1
Invoice 251135,1
Invoice 100798,1
Invoice 256987,1
Invoice 188798,1
Invoice 271055,1
Invoice 211106,1
Invoice 218132,1
Invoice 234577,1
Invoice 171050,1
Invoice 276394,1
Invoice 228175,1
Invoice 253934,1
Invoice 231221,1
Invoice 231833,1
Invoice 267474,1
Invoice 166892,3
Invoice 276043,3
Invoice 199897,2
Invoice 196167,1
Invoice 194390,1
Invoice 233177,1
Invoice 260106,1
Invoice 47947,1
Invoice 185463,1
Invoice 163953,1
Invoice 257669,1
Invoice 262786,1
Invoice 195423,3
Invoice 227235,1
Invoice 183417,1
Invoice 163999,1
Invoice 235333,1
Invoice 222382,1
Invoice 209038,1
Invoice 274033,1
Invoice 273132,3
Invoice 185411,2
Invoice 1857,3
Invoice 236006,1
Invoice 213594,1
Invoice 274321,2
Invoice 44025,1
Invoice 130957,3
Invoice 252030,1
Invoice 234276,1
Invoice 257619,1
Invoice 172432,1
Invoice 115673,2
Invoice 22881,2
Invoice 33259,1
Invoice 174849,1
Invoice 202424,1
Invoice 194114,1
Invoice 266466,1
Invoice 172086,1
Invoice 165936,1
Invoice 194384,1
Invoice 266248,1
Invoice 185204,1
Invoice 243664,1
Invoice 228666,1
Invoice 58341,3
Invoice 82045,3
Invoice 29486,2
Invoice 9580,2
Invoice 235274,1
Invoice 17015,1
Invoice 39177,1
Invoice 165666,1
Invoice 24565,1
Invoice 271157,1
Invoice 275045,1
Invoice 69488,1
Invoice 174248,1
Invoice 199212,1
Invoice 260136,1
Invoice 188787,1
Invoice 198245,1
Invoice 230965,1
Invoice 201778,1
Invoice 203087,1
Invoice 257163,1
Invoice 233721,1
Invoice 206262,1
Invoice 62147,1
Invoice 138702,1
Invoice 226690,2
Invoice 270336,1
Invoice 207736,1
Invoice 172307,1
Invoice 253638,1
Invoice 198667,1
Invoice 235305,1
Invoice 194141,1
Invoice 174742,1
Invoice 204466,1
Invoice 227399,1
Invoice 248856,1
Invoice 242031,1
Invoice 227359,1
Invoice 191541,1
Invoice 179108,2
Invoice 208014,3
Invoice 196816,1
Invoice 215573,2
Invoice 175713,1
Invoice 166436,2
Invoice 185427,1
Invoice 198500,1
Invoice 179609,2
Invoice 233710,1
Invoice 66659,3
Invoice 235609,2
Invoice 197427,1
Invoice 236907,2
Invoice 200469,1
Invoice 245997,1
Invoice 131439,1
Invoice 272301,1
Invoice 273243,1
Invoice 218405,1
Invoice 179992,1
Invoice 187377,1
Invoice 164363,5
Invoice 223086,1
Invoice 181970,1
Invoice 255794,1
Invoice 270258,1
Invoice 217701,2
Invoice 225601,1
Invoice 190217,1
Invoice 212911,1
Invoice 254654,1
Invoice 212738,1
Invoice 212057,1
Invoice 116042,1
Invoice 207421,2
Invoice 169890,1
Invoice 247747,1
Invoice 175881,2
Invoice 174591,1
Invoice 276161,1
Invoice 272673,1
Invoice 182400,1
Invoice 234235,1
Invoice 271118,1
Invoice 214454,1
Invoice 213941,1
Invoice 261585,1
Invoice 38438,1
Invoice 224413,1
Invoice 276222,1
Invoice 265561,1
Invoice 244379,1
Invoice 232900,1
Invoice 238120,1
Invoice 105082,1
Invoice 262814,1
Invoice 257497,2
Invoice 169610,2
Invoice 212099,1
Invoice 256349,2
Invoice 173481,1
Invoice 256892,2
Invoice 170756,1
Invoice 269688,1
Invoice 196890,2
Invoice 24427,3
Invoice 270890,3
Invoice 219394,2
Invoice 167357,3
Invoice 243237,1
Invoice 272622,2
Invoice 231141,1
Invoice 241027,2
Invoice 172430,1
Invoice 195159,1
Invoice 174209,1
Invoice 219222,1
Invoice 139378,5
Invoice 245979,3
Invoice 221287,1
Invoice 242592,2
Invoice 186233,4
Invoice 273145,1
Invoice 197327,1
Invoice 269359,1
Invoice 169245,1
Invoice 199066,1
Invoice 245877,2
Invoice 226231,1
Invoice 236422,1
Invoice 260776,1
Invoice 269633,1
Invoice 250971,1
Invoice 210462,1
Invoice 244319,1
Invoice 167072,2
Invoice 273346,1
Invoice 270935,1
Invoice 90911,1
Invoice 248147,2
Invoice 237667,1
Invoice 203397,1
Invoice 168045,1
Invoice 265456,2
Invoice 243145,2
Invoice 207984,1
Invoice 186112,1
Invoice 175771,1
Invoice 258798,1
Invoice 270097,1
Invoice 204745,1
Invoice 176832,1
Invoice 172280,1
Invoice 243942,1
Invoice 269003,1
Invoice 194521,1
Invoice 224028,1
Invoice 212761,1
Invoice 194883,1
Invoice 170611,6
Invoice 263856,1
Invoice 254525,1
Invoice 258789,1
Invoice 219492,2
Invoice 164454,3
Invoice 160735,3
Invoice 160097,3
Invoice 187369,2
Invoice 119905,3
Invoice 215157,1
Invoice 268912,2
Invoice 164781,1
Invoice 178270,1
Invoice 206167,2
Invoice 191151,3
Invoice 271523,1
Invoice 234719,1
Invoice 263481,2
Invoice 248939,1
Invoice 246700,1
Invoice 48043,3
Invoice 165241,1
Invoice 220099,1
Invoice 259842,1
Invoice 245096,1
Invoice 218448,6
Invoice 243859,1
Invoice 261671,1
Invoice 175524,1
Invoice 190799,1
Invoice 210328,1
Invoice 239127,1
Invoice 250294,1
Invoice 55833,1
Invoice 234953,1
Invoice 171920,1
Invoice 178818,1
Invoice 237977,1
Invoice 257250,1
Invoice 178319,1
Invoice 227240,1
Invoice 251641,1
Invoice 185510,1
Invoice 190027,1
Invoice 239074,1
Invoice 192322,1
Invoice 225318,2
Invoice 167261,2
Invoice 229215,1
Invoice 187429,2
Invoice 191442,2
Invoice 210437,2
Invoice 200516,2
