,Invoice ID,sum(Rejection Reason Count)
0,Invoice 246792,0
1,Invoice 208501,0
2,Invoice 174149,0
3,Invoice 287867,0
4,Invoice 231508,0
5,Invoice 192932,0
6,Invoice 320773,0
7,Invoice 230814,0
8,Invoice 283192,0
9,Invoice 298457,0
10,Invoice 196489,0
11,Invoice 296421,0
12,Invoice 326435,0
13,Invoice 5005,0
14,Invoice 8355,0
15,Invoice 287116,0
16,Invoice 141205,0
17,Invoice 267340,0
18,Invoice 89793,0
19,Invoice 315660,0
20,Invoice 225865,0
21,Invoice 259126,0
22,Invoice 120600,0
23,Invoice 308003,0
24,Invoice 192392,0
25,Invoice 167239,0
26,Invoice 304754,0
27,Invoice 227168,0
28,Invoice 87697,0
29,Invoice 213040,0
30,Invoice 242377,0
31,Invoice 186647,0
32,Invoice 222800,0
33,Invoice 226285,0
34,Invoice 296866,0
35,Invoice 254941,0
36,Invoice 174091,0
37,Invoice 265403,0
38,Invoice 173951,0
39,Invoice 24255,0
40,Invoice 239255,0
41,Invoice 183842,0
42,Invoice 297705,0
43,Invoice 134152,0
44,Invoice 206373,0
45,Invoice 211180,0
46,Invoice 209140,0
47,Invoice 272336,0
48,Invoice 189469,0
49,Invoice 71304,0
50,Invoice 220363,0
51,Invoice 34,0
52,Invoice 153971,0
53,Invoice 77573,0
54,Invoice 166973,0
55,Invoice 305256,0
56,Invoice 247617,0
57,Invoice 273161,0
58,Invoice 231652,0
59,Invoice 18548,0
60,Invoice 114375,0
61,Invoice 318262,0
62,Invoice 319592,0
63,Invoice 292652,0
64,Invoice 147939,0
65,Invoice 147321,0
66,Invoice 317245,0
67,Invoice 219338,0
68,Invoice 148422,0
69,Invoice 263094,0
70,Invoice 246613,0
71,Invoice 20945,0
72,Invoice 52056,0
73,Invoice 172413,0
74,Invoice 112593,0
75,Invoice 270946,0
76,Invoice 204440,0
77,Invoice 304618,0
78,Invoice 177721,0
79,Invoice 302109,0
80,Invoice 197207,0
81,Invoice 299003,0
82,Invoice 174547,0
83,Invoice 98502,0
84,Invoice 282292,0
85,Invoice 48647,0
86,Invoice 279575,0
87,Invoice 291792,0
88,Invoice 224532,0
89,Invoice 219058,0
90,Invoice 194844,0
91,Invoice 291246,0
92,Invoice 38988,0
93,Invoice 160658,0
94,Invoice 32063,0
95,Invoice 311149,0
96,Invoice 191261,0
97,Invoice 192861,0
98,Invoice 73076,0
99,Invoice 2806,0
100,Invoice 73463,0
101,Invoice 120240,0
102,Invoice 108474,0
103,Invoice 213356,0
104,Invoice 280329,0
105,Invoice 171564,0
106,Invoice 174557,0
107,Invoice 70837,0
108,Invoice 240136,0
109,Invoice 176378,0
110,Invoice 212276,0
111,Invoice 216866,0
112,Invoice 302863,0
113,Invoice 182108,0
114,Invoice 31168,0
115,Invoice 317145,0
116,Invoice 169883,0
117,Invoice 212668,0
118,Invoice 299594,0
119,Invoice 254152,0
120,Invoice 145031,0
121,Invoice 309838,0
122,Invoice 259327,0
123,Invoice 205466,0
124,Invoice 128623,0
125,Invoice 173900,0
126,Invoice 200284,0
127,Invoice 204146,0
128,Invoice 190221,0
129,Invoice 316620,0
