Queue Name,Queue ID,Content ID,Ad Hoc Task,Log Date,User Name,User ID
AP - Upload Errors,118,3288,Move to Exceptions,5/4/2022 8:55:48 AM,HARSH.MALHOTRA,121
AP – AP Exceptions,103,2929,Resubmit,5/4/2022 2:19:03 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,2929,Remove from WF,5/4/2022 2:25:19 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3000,Resubmit,5/4/2022 2:26:19 PM,PRAGNA.PATEL,108
AP – Manual Match,108,2425,Complete,5/4/2022 2:59:36 PM,PRAGNA.PATEL,108
AP – Manual Match,108,2425,Complete,5/4/2022 3:02:23 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3000,Resubmit,5/4/2022 3:05:01 PM,PRAGNA.PATEL,108
AP – Manual Match,108,2673,Complete,5/4/2022 3:17:35 PM,PRAGNA.PATEL,108
AP – Manual Match,108,2670,Complete,5/4/2022 3:35:22 PM,PRAGNA.PATEL,108
AP – Manual Match,108,2670,Complete,5/4/2022 3:35:59 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3355,Remove from WF,5/5/2022 9:05:00 AM,HARSH.MALHOTRA,121
AP – Manual Match,108,3373,Resubmit,5/5/2022 9:53:33 AM,HARSH.MALHOTRA,121
AP – AP Exceptions,103,3373,Resubmit,5/5/2022 9:57:22 AM,HARSH.MALHOTRA,121
AP – Manual Match,108,3391,Resubmit,5/6/2022 10:41:19 AM,HARSH.MALHOTRA,121
AP – Manual Match,108,3460,Complete,5/10/2022 2:24:37 PM,ALBERTO.CASCANTE,112
AP – AP Exceptions,103,3439,Remove from WF,5/10/2022 4:03:18 PM,LAURA.NARANJO,116
AP – AP Exceptions,103,3444,Remove from WF,5/10/2022 4:03:33 PM,LAURA.NARANJO,116
AP – Manual Match,108,3526,Complete,5/11/2022 5:18:38 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3280,Complete,5/11/2022 6:02:32 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3280,Resubmit,5/11/2022 6:05:07 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3561,Resubmit,5/12/2022 10:53:30 AM,HARSH.MALHOTRA,121
AP – Manual Match,108,3507,Resubmit,5/12/2022 10:54:17 AM,HARSH.MALHOTRA,121
AP – AP Exceptions,103,3631,Resubmit,5/20/2022 1:18:12 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3348,Resubmit,5/20/2022 4:44:27 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3398,Resubmit,5/20/2022 5:42:28 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3405,Remove from WF,5/20/2022 6:02:22 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3422,Remove from WF,5/20/2022 6:02:29 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3670,Resubmit,5/23/2022 9:51:59 AM,HARSH.MALHOTRA,121
AP – Manual Match,108,3685,Resubmit,5/23/2022 11:47:29 AM,HARSH.MALHOTRA,121
AP – AP Exceptions,103,3361,Set in Progress,5/24/2022 3:19:09 PM,MANAGER,2
AP – AP Exceptions,103,3751,Resubmit,5/30/2022 5:28:12 PM,ALBERTO.CASCANTE,112
AP – AP Exceptions,103,3830,Resubmit,6/2/2022 10:06:26 AM,HARSH.MALHOTRA,121
AP – AP Exceptions,103,3831,Resubmit,6/2/2022 10:09:15 AM,HARSH.MALHOTRA,121
AP – Manual Match,108,3830,Complete,6/2/2022 10:16:04 AM,HARSH.MALHOTRA,121
AP – Manual Match,108,3831,Complete,6/2/2022 10:17:48 AM,HARSH.MALHOTRA,121
AP – AP Exceptions,103,3924,Resubmit,6/3/2022 11:03:27 AM,PRAGNA.PATEL,108
AP – Manual Match,108,3924,Complete,6/3/2022 11:12:22 AM,PRAGNA.PATEL,108
AP – Manual Match,108,3931,Complete,6/3/2022 11:25:55 AM,HARSH.MALHOTRA,121
AP – AP Exceptions,103,3947,Resubmit,6/3/2022 1:17:23 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3911,Resubmit,6/3/2022 2:41:03 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3947,Complete,6/3/2022 2:43:11 PM,PRAGNA.PATEL,108
AP – AP Exceptions,103,3911,Resubmit,6/3/2022 3:09:24 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3970,Complete,6/3/2022 5:54:52 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3982,Complete,6/3/2022 6:07:09 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3990,Complete,6/3/2022 6:14:49 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3990,Complete,6/3/2022 6:16:00 PM,PRAGNA.PATEL,108
AP – Manual Match,108,4009,Complete,6/3/2022 6:46:59 PM,PRAGNA.PATEL,108
AP – Manual Match,108,4044,Complete,6/17/2022 11:44:59 AM,ALBERTO.CASCANTE,112
AP – AP Exceptions,103,4124,Remove from WF,6/22/2022 1:35:18 PM,MELANIE.HENDERSON,119
AP – AP Exceptions,103,4126,Set in Progress,6/23/2022 11:04:53 AM,ALBERTO.CASCANTE,112
AP – Manual Match,108,4185,Complete,6/23/2022 12:13:45 PM,ADRIANA.HERRERA,111
AP – AP Exceptions,103,4828,Remove from WF,6/28/2022 12:24:31 PM,BARBARA.PAINE,128
AP – Manual Match,108,4959,Complete,6/28/2022 12:53:44 PM,BARBARA.PAINE,128
AP – Manual Match,108,4697,Complete,6/28/2022 4:41:18 PM,BARBARA.PAINE,128
AP – Manual Match,108,4693,Complete,6/28/2022 4:49:54 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,5194,Resubmit,6/28/2022 5:04:19 PM,JOSUE.ZARATE,129
AP – AP Exceptions,103,5473,Resubmit,6/28/2022 5:06:39 PM,YENDRY.ARCE,125
AP – Manual Match,108,5052,Complete,6/28/2022 5:11:15 PM,YENDRY.ARCE,125
AP – Manual Match,108,4432,Complete,6/28/2022 5:12:14 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,4960,Set in Progress,6/28/2022 5:20:07 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,4960,Set in Progress,6/28/2022 5:20:19 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,4348,Resubmit,6/28/2022 5:27:21 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,4892,Resubmit,6/28/2022 5:28:27 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,5377,Resubmit,6/28/2022 5:33:43 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,4793,Resubmit,6/28/2022 5:35:54 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,5107,Resubmit,6/28/2022 5:43:43 PM,BARBARA.PAINE,128
AP – Manual Match,108,5359,Complete,6/28/2022 5:59:10 PM,BARBARA.PAINE,128
AP – Manual Match,108,4126,Complete,6/28/2022 6:14:41 PM,JOSUE.ZARATE,129
AP – Manual Match,108,5305,Complete,6/28/2022 6:21:40 PM,JOSUE.ZARATE,129
AP – AP Exceptions,103,3288,Resubmit,5/4/2022 8:57:01 AM,HARSH.MALHOTRA,121
AP - Upload Errors,118,2247,Move to Exceptions,5/4/2022 11:19:45 AM,ANKUR.GOYAL,107
AP – Manual Match,108,4208,Complete,6/24/2022 8:28:04 AM,ADRIANA.HERRERA,111
AP – Manual Match,108,4695,Complete,6/28/2022 5:45:03 PM,BARBARA.PAINE,128
AP – Manual Match,108,4710,Complete,6/28/2022 6:23:05 PM,JOSUE.ZARATE,129
AP – AP Exceptions,103,4710,Resubmit,6/28/2022 6:41:05 PM,JOSUE.ZARATE,129
AP – Manual Match,108,5180,Complete,6/28/2022 8:00:33 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,5487,Resubmit,6/29/2022 7:12:14 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,5194,Resubmit,6/29/2022 7:14:16 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,5054,Resubmit,6/29/2022 7:16:23 PM,YENDRY.ARCE,125
AP – Manual Match,108,5708,Complete,6/29/2022 7:16:50 PM,MOISES.ROCHA,126
AP – Manual Match,108,4960,Complete,6/29/2022 7:22:23 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,5744,Resubmit,6/29/2022 7:23:24 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,5746,Resubmit,6/29/2022 7:24:33 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,5745,Resubmit,6/29/2022 7:26:21 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,5474,Resubmit,6/29/2022 7:32:35 PM,YENDRY.ARCE,125
AP – Manual Match,108,4967,Complete,6/29/2022 7:34:07 PM,BARBARA.PAINE,128
AP – Manual Match,108,5525,Complete,6/29/2022 7:39:12 PM,BARBARA.PAINE,128
AP – Manual Match,108,5898,Complete,6/29/2022 7:40:56 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,5477,Resubmit,6/29/2022 7:41:28 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,5503,Resubmit,6/29/2022 7:48:24 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,5479,Resubmit,6/29/2022 7:52:38 PM,YENDRY.ARCE,125
AP – Manual Match,108,5673,Complete,6/29/2022 7:53:22 PM,MOISES.ROCHA,126
AP – AP Exceptions,103,4719,Resubmit,6/30/2022 1:15:29 PM,JOSUE.ZARATE,129
AP – AP Exceptions,103,4871,Resubmit,6/30/2022 1:16:46 PM,JOSUE.ZARATE,129
AP – AP Exceptions,103,4891,Resubmit,6/30/2022 1:19:36 PM,JOSUE.ZARATE,129
AP – AP Exceptions,103,4720,Resubmit,6/30/2022 1:20:34 PM,JOSUE.ZARATE,129
AP – AP Exceptions,103,4893,Resubmit,6/30/2022 1:21:28 PM,JOSUE.ZARATE,129
AP – Manual Match,108,5135,Complete,6/30/2022 1:26:21 PM,YENDRY.ARCE,125
AP – Manual Match,108,4790,Complete,6/30/2022 1:27:11 PM,JOSUE.ZARATE,129
AP – Manual Match,108,5135,Complete,6/30/2022 1:27:21 PM,YENDRY.ARCE,125
AP – Manual Match,108,5253,Complete,6/30/2022 1:27:40 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,4348,Resubmit,6/30/2022 1:27:56 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,4892,Resubmit,6/30/2022 1:29:34 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,5604,Resubmit,6/30/2022 1:34:11 PM,BARBARA.PAINE,128
AP – Manual Match,108,5756,Complete,6/30/2022 1:34:55 PM,YENDRY.ARCE,125
AP – AP Exceptions,103,5604,Resubmit,6/30/2022 1:35:13 PM,BARBARA.PAINE,128
AP – AP Exceptions,103,5604,Resubmit,6/30/2022 1:35:44 PM,BARBARA.PAINE,128
AP – Manual Match,108,4281,Complete,6/30/2022 1:38:40 PM,JOSUE.ZARATE,129
AP – Manual Match,108,2670,Complete,5/4/2022 3:21:12 PM,PRAGNA.PATEL,108
AP – Manual Match,108,2508,Complete,5/11/2022 3:09:05 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3507,Complete,5/11/2022 5:20:27 PM,PRAGNA.PATEL,108
AP – Manual Match,108,3845,Complete,6/2/2022 1:15:06 PM,HARSH.MALHOTRA,121
AP – AP Exceptions,103,4098,Remove from WF,6/17/2022 5:56:55 PM,ALBERTO.CASCANTE,112
