,0
0,8000022668
1,8000035147
2,8000022670
3,8000022671
4,8000022672
5,8000035148
6,8000022674
7,8000022675
8,8000022676
9,8000022677
10,8000022678
11,8000035149
12,8000022679
13,8000022683
14,8000035150
15,8000022684
16,8000022685
17,8000035151
18,8000022688
19,8000022689
20,8000022690
21,8000022691
22,8000022692
23,8000032569
24,8000022694
25,8000022697
26,8000035153
27,8000022698
28,8000022699
29,8000035154
30,8000022707
31,8000035155
32,8000022708
33,8000022710
34,8000022711
35,8000035156
36,8000022713
37,8000022714
38,8000022716
39,8000035157
40,8000022720
41,8000022721
42,8000022722
43,8000035158
44,8000022725
45,8000022727
46,8000035159
47,8000022728
48,8000035160
49,8000022733
50,8000035161
51,8000022742
52,8000035162
53,8000022743
54,8000022745
55,8000022746
56,8000035163
57,8000022750
58,8000022751
59,8000035164
60,8000022754
61,8000022755
62,8000035165
63,8000022758
64,8000035166
65,8000022763
66,8000022764
67,8000022765
68,8000022767
69,8000022769
70,8000035168
71,8000022777
72,8000035169
73,8000022780
74,8000022783
75,8000035170
76,8000022785
77,8000022786
78,8000022787
79,8000035171
80,8000022793
81,8000035172
82,8000022794
83,8000022796
84,8000035173
85,8000022804
86,8000022805
87,8000022806
88,8000022807
89,8000035175
90,8000022809
91,8000035176
92,8000022815
93,8000022816
94,8000022818
95,8000035177
96,8000022819
97,8000022820
98,8000022822
99,8000022823
100,8000035178
101,8000022824
102,8000022826
103,8000022827
104,8000022828
105,8000022829
106,8000022831
107,8000022832
108,8000022836
109,8000022839
110,8000035182
111,8000035183
112,8000022850
113,1573794
114,8000035184
115,8000022856
116,8000022857
117,8000035185
118,8000022858
119,8000022859
120,8000022860
121,8000022861
122,8000035186
123,8000022865
124,8000035187
125,8000035188
126,8000022874
127,8000022875
128,8000022876
129,8000022877
130,8000035189
131,8000022880
132,8000022881
133,8000022882
134,8000032362
135,8000035190
136,8000022884
137,8000022885
138,8000022887
139,8000035191
140,8000022888
141,8000022891
142,8000035192
143,8000022893
144,8000022894
145,8000035193
146,8000022902
147,8000035194
148,8000022903
149,8000035195
150,8000022908
151,8000022910
152,8000035196
153,8000022913
154,8000022917
155,8000035197
156,8000022918
157,8000022920
158,8000022922
159,8000035198
160,8000022924
161,8000022925
162,8000022927
163,8000035199
164,8000022931
165,8000035200
166,8000022935
167,8000022936
168,8000022938
169,8000035201
170,8000022939
171,8000032571
172,8000022943
173,8000035202
174,8000022944
175,8000022945
176,8000022947
177,8000035203
178,8000022949
179,8000022951
180,8000022952
181,8000035204
182,8000022954
183,8000022957
184,8000022958
185,8000035205
186,8000022959
187,8000022960
188,8000022961
189,8000035206
190,8000022964
191,8000022965
192,8000022966
193,8000022967
194,8000022968
195,8000035207
196,8000022969
197,8000022970
198,8000022973
199,8000035208
200,8000022974
201,8000022975
202,8000022976
203,8000022977
204,8000022978
205,8000035209
206,8000035210
207,8000022987
208,8000022988
209,8000035211
210,8000022989
211,8000022998
212,8000035213
213,8000022999
214,8000023000
215,8000023001
216,8000023002
217,8000023003
218,8000035214
219,8000023004
220,8000023005
221,8000023006
222,8000032363
223,8000035215
224,8000023008
225,8000023009
226,8000023010
227,8000023012
228,8000035216
229,8000023013
230,8000023014
231,8000023015
232,8000035217
233,8000023019
234,8000023020
235,8000023021
236,8000035218
237,8000023024
238,8000035219
239,8000023029
240,8000023030
241,8000035220
242,8000023037
243,8000035221
244,8000023038
245,8000023039
246,8000023040
247,8000023041
248,8000023042
249,8000035222
250,8000023043
251,8000023044
252,8000023045
253,8000023046
254,8000023047
255,8000035223
256,8000023049
257,8000023050
258,8000023051
259,8000023052
260,8000035224
261,8000023054
262,8000023055
263,8000023056
264,8000023057
265,8000035225
266,8000023059
267,8000023060
268,8000023061
269,8000035226
270,8000023064
271,8000023065
272,8000023066
273,8000035227
274,8000023068
275,8000023070
276,8000035228
277,8000023073
278,8000023075
279,8000035229
280,8000023079
281,8000035230
282,8000035231
283,8000023090
284,8000023091
285,8000023092
286,8000035232
287,8000023094
288,8000023095
289,8000023097
290,8000035233
291,8000023099
292,8000023101
293,8000023102
294,8000023105
295,8000023106
296,8000035235
297,8000023113
298,8000035236
299,8000023114
300,8000035237
301,8000023120
302,8000023121
303,8000023122
304,8000035238
305,8000023124
306,8000023128
307,8000035239
308,8000023129
309,8000023130
310,8000023132
311,8000023133
312,8000023134
313,8000023135
314,8000023138
315,8000023141
316,8000023143
317,8000035242
318,8000023145
319,8000035243
320,8000023152
321,8000035244
322,8000023158
323,8000035245
324,8000023159
325,8000023160
326,8000035246
327,8000023164
328,8000035247
329,8000035248
330,8000035249
331,8000023178
332,8000023179
333,8000023180
334,8000023182
335,8000023183
336,8000023184
337,8000023186
338,8000023187
339,8000035251
340,8000023190
341,8000032573
342,8000023192
343,8000035252
344,8000023195
345,8000023196
346,8000023197
347,8000035253
348,8000023198
