Final Approved Date,Final Company Code,Turnaround (Days),Target
2019-09-30,Company 10,0.0,2
2019-09-30,Company 12,0.5882352941176471,2
2019-09-30,Company 4,0.3333333333333333,2
2019-09-30,Company 6,0.6,2
2019-10-31,Company 10,5.96969696969697,2
2019-10-31,Company 12,2.425287356321839,2
2019-10-31,Company 13,1.6,2
2019-10-31,Company 4,2.3469387755102042,2
2019-10-31,Company 6,3.066666666666667,2
2019-11-30,Company 10,4.833333333333333,2
2019-11-30,Company 12,2.076923076923077,2
2019-11-30,Company 4,3.9361702127659575,2
2019-11-30,Company 6,3.650943396226415,2
2019-12-31,Company 1,1.0,2
2019-12-31,Company 10,12.333333333333334,2
2019-12-31,Company 12,3.2058823529411766,2
2019-12-31,Company 4,3.9069767441860463,2
2019-12-31,Company 6,3.967741935483871,2
2020-01-31,Company 1,3.0,2
2020-01-31,Company 10,3.9210526315789473,2
2020-01-31,Company 12,2.118181818181818,2
2020-01-31,Company 4,3.2,2
2020-01-31,Company 5,5.0,2
2020-01-31,Company 6,2.6845238095238093,2
2020-02-29,Company 1,0.0,2
2020-02-29,Company 10,5.475,2
2020-02-29,Company 12,1.5625,2
2020-02-29,Company 4,3.5416666666666665,2
2020-02-29,Company 5,5.666666666666667,2
2020-02-29,Company 6,3.3805309734513274,2
2020-03-31,Company 1,0.0,2
2020-03-31,Company 10,2.1944444444444446,2
2020-03-31,Company 12,1.5,2
2020-03-31,Company 4,3.574468085106383,2
2020-03-31,Company 5,4.4,2
2020-03-31,Company 6,2.6015625,2
2020-04-30,Company 1,0.0,2
2020-04-30,Company 10,7.857142857142857,2
2020-04-30,Company 12,2.140845070422535,2
2020-04-30,Company 4,3.3361344537815127,2
2020-04-30,Company 5,6.666666666666667,2
2020-04-30,Company 6,2.3089430894308944,2
2020-05-31,Company 1,1.5,2
2020-05-31,Company 10,4.757575757575758,2
2020-05-31,Company 12,2.015625,2
2020-05-31,Company 4,3.089430894308943,2
2020-05-31,Company 5,5.0,2
2020-05-31,Company 6,2.2061855670103094,2
2020-06-30,Company 1,0.875,2
2020-06-30,Company 10,4.181818181818182,2
2020-06-30,Company 12,1.3725490196078431,2
2020-06-30,Company 2,0.0,2
2020-06-30,Company 4,2.139896373056995,2
2020-06-30,Company 5,1.6666666666666667,2
2020-06-30,Company 6,3.1,2
2020-07-31,Company 1,1.0,2
2020-07-31,Company 10,4.064516129032258,2
2020-07-31,Company 12,3.1153846153846154,2
2020-07-31,Company 13,0.25,2
2020-07-31,Company 2,1.0,2
2020-07-31,Company 4,1.3098591549295775,2
2020-07-31,Company 5,4.0,2
2020-07-31,Company 6,2.574468085106383,2
2020-08-31,Company 1,0.25,2
2020-08-31,Company 10,5.76,2
2020-08-31,Company 12,3.3333333333333335,2
2020-08-31,Company 13,4.666666666666667,2
2020-08-31,Company 2,0.4,2
2020-08-31,Company 4,2.8983050847457625,2
2020-08-31,Company 5,2.0,2
2020-08-31,Company 6,2.984126984126984,2
2020-09-30,Company 1,0.0,2
2020-09-30,Company 10,4.738095238095238,2
2020-09-30,Company 12,3.2941176470588234,2
2020-09-30,Company 13,7.25,2
2020-09-30,Company 2,0.0,2
2020-09-30,Company 4,1.7936507936507937,2
2020-09-30,Company 6,3.3045977011494254,2
2020-10-31,Company 1,2.0,2
2020-10-31,Company 10,6.057142857142857,2
2020-10-31,Company 12,1.9682539682539681,2
2020-10-31,Company 13,0.0,2
2020-10-31,Company 2,0.1111111111111111,2
2020-10-31,Company 4,1.8522727272727273,2
2020-10-31,Company 5,2.0,2
2020-10-31,Company 6,2.8017241379310347,2
2020-11-30,Company 1,1.5,2
2020-11-30,Company 10,5.5,2
2020-11-30,Company 12,4.08,2
2020-11-30,Company 13,0.0,2
2020-11-30,Company 2,0.0,2
2020-11-30,Company 4,2.12,2
2020-11-30,Company 5,0.5,2
2020-11-30,Company 6,2.647887323943662,2
2020-12-31,Company 1,2.5,2
2020-12-31,Company 10,7.176470588235294,2
2020-12-31,Company 12,8.0625,2
2020-12-31,Company 13,1.5,2
2020-12-31,Company 2,0.5,2
2020-12-31,Company 4,3.318840579710145,2
2020-12-31,Company 6,4.86,2
2021-01-31,Company 1,1.5,2
2021-01-31,Company 10,4.142857142857143,2
2021-01-31,Company 12,4.466666666666667,2
2021-01-31,Company 13,0.0,2
2021-01-31,Company 2,0.5,2
2021-01-31,Company 4,1.4642857142857142,2
2021-01-31,Company 5,2.0,2
2021-01-31,Company 6,4.047169811320755,2
2021-02-28,Company 1,1.0,2
2021-02-28,Company 10,4.171428571428572,2
2021-02-28,Company 12,2.769230769230769,2
2021-02-28,Company 13,0.0,2
2021-02-28,Company 3,4.0,2
2021-02-28,Company 4,1.8026315789473684,2
2021-02-28,Company 5,0.8333333333333334,2
2021-02-28,Company 6,3.074626865671642,2
2021-03-31,Company 1,1.0,2
2021-03-31,Company 10,4.375,2
2021-03-31,Company 12,3.4375,2
2021-03-31,Company 13,0.6,2
2021-03-31,Company 2,0.0,2
2021-03-31,Company 3,1.0,2
2021-03-31,Company 4,2.043103448275862,2
2021-03-31,Company 5,1.6666666666666667,2
2021-03-31,Company 6,2.5357142857142856,2
2021-04-30,Company 1,3.0,2
2021-04-30,Company 10,4.614035087719298,2
2021-04-30,Company 12,5.435897435897436,2
2021-04-30,Company 13,0.0,2
2021-04-30,Company 2,0.0,2
2021-04-30,Company 4,1.2435897435897436,2
2021-04-30,Company 6,3.1724137931034484,2
2021-05-31,Company 10,4.583333333333333,2
2021-05-31,Company 12,5.08,2
2021-05-31,Company 2,0.42857142857142855,2
2021-05-31,Company 4,2.309090909090909,2
2021-05-31,Company 5,0.0,2
2021-05-31,Company 6,2.038216560509554,2
2021-06-30,Company 1,0.0,2
2021-06-30,Company 10,4.3354430379746836,2
2021-06-30,Company 12,4.483870967741935,2
2021-06-30,Company 2,0.0,2
2021-06-30,Company 4,2.193548387096774,2
2021-06-30,Company 5,0.0,2
2021-06-30,Company 6,1.765625,2
2021-07-31,Company 1,0.0,2
2021-07-31,Company 10,3.248447204968944,2
2021-07-31,Company 12,4.609756097560975,2
2021-07-31,Company 13,1.0,2
2021-07-31,Company 2,0.3333333333333333,2
2021-07-31,Company 4,2.096774193548387,2
2021-07-31,Company 5,0.0,2
2021-07-31,Company 6,1.7,2
2021-08-31,Company 1,0.0,2
2021-08-31,Company 10,5.416666666666667,2
2021-08-31,Company 12,5.958333333333333,2
2021-08-31,Company 13,0.0,2
2021-08-31,Company 2,3.0,2
2021-08-31,Company 4,1.890625,2
2021-08-31,Company 5,6.0,2
2021-08-31,Company 6,1.7023809523809523,2
2021-09-30,Company 1,1.875,2
2021-09-30,Company 10,12.11111111111111,2
2021-09-30,Company 12,2.742857142857143,2
2021-09-30,Company 13,0.0,2
2021-09-30,Company 4,2.6984126984126986,2
2021-09-30,Company 5,3.6666666666666665,2
2021-09-30,Company 6,1.4605263157894737,2
2021-10-31,Company 1,4.0,2
2021-10-31,Company 10,2.4444444444444446,2
2021-10-31,Company 12,1.837837837837838,2
2021-10-31,Company 13,7.5,2
2021-10-31,Company 2,0.6,2
2021-10-31,Company 4,1.9080459770114941,2
2021-10-31,Company 5,11.0,2
2021-10-31,Company 6,1.9285714285714286,2
2021-11-30,Company 1,6.0,2
2021-11-30,Company 10,4.956521739130435,2
2021-11-30,Company 12,5.380952380952381,2
2021-11-30,Company 13,0.0,2
2021-11-30,Company 2,0.8571428571428571,2
2021-11-30,Company 4,2.1818181818181817,2
2021-11-30,Company 6,2.8405797101449277,2
2021-12-31,Company 1,3.625,2
2021-12-31,Company 10,5.230769230769231,2
2021-12-31,Company 12,6.448275862068965,2
2021-12-31,Company 2,1.0,2
2021-12-31,Company 4,2.125,2
2021-12-31,Company 6,2.020408163265306,2
2022-01-31,Company 1,3.8,2
2022-01-31,Company 10,3.6666666666666665,2
