Final Approved Date,Final Company,Final Processing Time,Target
2020-01-31,Company 12,1.2083333333333333,7
2020-01-31,Company 4,2.122448979591837,7
2020-01-31,Company 6,2.5736434108527133,7
2020-02-29,Company 1,1.0,7
2020-02-29,Company 12,2.493333333333333,7
2020-02-29,Company 4,1.7857142857142858,7
2020-02-29,Company 6,3.84251968503937,7
2020-03-31,Company 1,9.333333333333334,7
2020-03-31,Company 12,3.6551724137931036,7
2020-03-31,Company 4,5.078431372549019,7
2020-03-31,Company 6,8.89041095890411,7
2020-04-30,Company 12,35.31730769230769,7
2020-04-30,Company 4,15.596153846153847,7
2020-04-30,Company 6,19.41747572815534,7
2020-05-31,Company 12,13.227272727272727,7
2020-05-31,Company 4,4.0476190476190474,7
2020-05-31,Company 6,7.150537634408602,7
2020-06-30,Company 1,1.2857142857142858,7
2020-06-30,Company 10,3.155115511551155,7
2020-06-30,Company 12,16.51851851851852,7
2020-06-30,Company 13,0.0,7
2020-06-30,Company 4,57.9875,7
2020-06-30,Company 6,3.9238476953907817,7
2020-07-31,Company 1,6.511811023622047,7
2020-07-31,Company 10,5.4419109663409335,7
2020-07-31,Company 12,2.533596837944664,7
2020-07-31,Company 13,3.888888888888889,7
2020-07-31,Company 14,4.708333333333333,7
2020-07-31,Company 2,1.3272727272727274,7
2020-07-31,Company 4,3.4442413162705665,7
2020-07-31,Company 5,2.3,7
2020-07-31,Company 6,5.0126201923076925,7
2020-08-31,Company 1,9.568181818181818,7
2020-08-31,Company 10,6.044554455445544,7
2020-08-31,Company 12,3.773006134969325,7
2020-08-31,Company 13,2.978021978021978,7
2020-08-31,Company 14,1.7179487179487178,7
2020-08-31,Company 2,2.641025641025641,7
2020-08-31,Company 4,5.855791962174941,7
2020-08-31,Company 5,2.152173913043478,7
2020-08-31,Company 6,11.176243360695317,7
2020-09-30,Company 1,13.33061224489796,7
2020-09-30,Company 10,5.3196986006458555,7
2020-09-30,Company 12,6.460263007432819,7
2020-09-30,Company 13,5.1911764705882355,7
2020-09-30,Company 14,3.2278481012658227,7
2020-09-30,Company 2,5.2368421052631575,7
2020-09-30,Company 4,13.254621347644603,7
2020-09-30,Company 5,5.8313953488372094,7
2020-09-30,Company 6,14.292901447277739,7
2020-10-31,Company 1,7.6115702479338845,7
2020-10-31,Company 10,7.102389078498294,7
2020-10-31,Company 12,5.80902004454343,7
2020-10-31,Company 13,5.072289156626506,7
2020-10-31,Company 14,0.9285714285714286,7
2020-10-31,Company 2,3.225806451612903,7
2020-10-31,Company 3,31.0,7
2020-10-31,Company 4,4.726406926406926,7
2020-10-31,Company 5,10.96774193548387,7
2020-10-31,Company 6,4.550121065375302,7
2020-11-30,Company 1,5.177339901477833,7
2020-11-30,Company 10,8.183968462549277,7
2020-11-30,Company 12,4.967109424414927,7
2020-11-30,Company 13,7.223776223776224,7
2020-11-30,Company 14,3.13953488372093,7
2020-11-30,Company 2,4.571428571428571,7
2020-11-30,Company 3,0.0,7
2020-11-30,Company 4,6.9911361804995975,7
2020-11-30,Company 5,6.683870967741935,7
2020-11-30,Company 6,5.760985031385804,7
2020-12-31,Company 1,5.403225806451613,7
2020-12-31,Company 10,7.848739495798319,7
2020-12-31,Company 12,6.463112213267204,7
2020-12-31,Company 13,4.34020618556701,7
2020-12-31,Company 14,1.2333333333333334,7
2020-12-31,Company 2,9.371428571428572,7
2020-12-31,Company 3,7.0,7
2020-12-31,Company 4,7.21113074204947,7
2020-12-31,Company 5,4.763636363636364,7
2020-12-31,Company 6,6.6443076923076925,7
2021-01-31,Company 1,6.096385542168675,7
2021-01-31,Company 10,7.64897381457891,7
2021-01-31,Company 12,5.938606194690266,7
2021-01-31,Company 13,4.0310077519379846,7
2021-01-31,Company 14,3.343283582089552,7
2021-01-31,Company 2,5.936842105263158,7
2021-01-31,Company 4,6.37436640115858,7
2021-01-31,Company 5,4.404255319148936,7
2021-01-31,Company 6,6.132773109243698,7
2021-02-28,Company 1,4.205970149253731,7
2021-02-28,Company 10,8.1145757795504,7
2021-02-28,Company 12,7.724370779619399,7
2021-02-28,Company 13,2.343283582089552,7
2021-02-28,Company 14,2.108108108108108,7
